PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;duaal onderwijs;vrouw;13;21;19;20;18
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;man;276;291;287;287;283
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;vrouw;74;76;68;74;58
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;man;1;1;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;vrouw;1;1;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;duaal onderwijs;man;1;1;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;man;133;134;128;122;117
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;vrouw;256;258;233;247;243
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;man;19;21;26;32;54
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;deeltijd onderwijs;vrouw;13;15;18;20;30
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;man;66;73;69;84;105
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;duaal onderwijs;vrouw;44;43;42;49;50
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;man;157;143;180;163;158
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);34406;B Accountancy;voltijd onderwijs;vrouw;63;52;57;52;52
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;deeltijd onderwijs;man;73;67;60;43;28
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;deeltijd onderwijs;vrouw;21;19;22;16;12
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;voltijd onderwijs;man;234;235;237;192;184
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35517;B Finance, Tax and Advice;voltijd onderwijs;vrouw;105;110;125;119;117
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;man;30;36;32;34;39
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;deeltijd onderwijs;vrouw;16;21;24;26;29
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;man;317;315;275;227;202
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;vrouw;102;84;100;87;77
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;deeltijd onderwijs;man;68;75;73;72;56
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;deeltijd onderwijs;vrouw;12;14;12;12;12
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;man;20;22;21;13;14
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;vrouw;4;7;6;9;7
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;man;197;211;220;206;183
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;vrouw;93;104;104;91;67
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;man;10;5;5;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;duaal onderwijs;vrouw;5;2;2;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;man;370;419;476;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);35523;B Ondernemerschap & Retail Management;voltijd onderwijs;vrouw;108;122;126;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;man;33;41;43;37;28
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;deeltijd onderwijs;vrouw;57;64;60;72;67
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;duaal onderwijs;man;0;0;0;2;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;duaal onderwijs;vrouw;0;0;1;1;4
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;man;135;129;119;106;112
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;vrouw;275;268;261;247;225
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;man;16;12;8;3;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;vrouw;26;17;16;7;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;130;128;128;139;137
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;334;311;302;273;244
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;deeltijd onderwijs;man;62;69;68;77;78
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;deeltijd onderwijs;vrouw;0;0;0;1;1
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;voltijd onderwijs;man;769;785;761;739;705
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30018;B Automotive;voltijd onderwijs;vrouw;18;16;23;26;24
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;deeltijd onderwijs;man;142;150;165;169;171
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;deeltijd onderwijs;vrouw;14;13;16;14;18
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;man;666;657;685;690;684
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;vrouw;40;32;29;33;39
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;deeltijd onderwijs;man;55;46;51;43;38
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;deeltijd onderwijs;vrouw;21;15;18;23;34
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;voltijd onderwijs;man;779;790;782;734;679
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34092;B Communication and Multimedia Design;voltijd onderwijs;vrouw;296;333;377;375;383
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;deeltijd onderwijs;man;108;93;84;92;92
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;deeltijd onderwijs;vrouw;6;3;6;9;13
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;man;330;346;383;430;448
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;vrouw;87;103;127;141;153
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;deeltijd onderwijs;man;142;108;91;59;99
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;deeltijd onderwijs;vrouw;7;6;5;4;5
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;man;265;271;285;271;260
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;vrouw;16;23;19;16;14
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34279;B Civiele Techniek;deeltijd onderwijs;man;119;116;95;89;75
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34279;B Civiele Techniek;deeltijd onderwijs;vrouw;3;2;2;4;3
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34279;B Civiele Techniek;duaal onderwijs;man;2;1;1;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34279;B Civiele Techniek;voltijd onderwijs;man;296;324;317;282;247
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34279;B Civiele Techniek;voltijd onderwijs;vrouw;18;27;36;33;29
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;deeltijd onderwijs;man;132;136;141;125;118
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;deeltijd onderwijs;vrouw;3;4;5;5;4
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;man;297;301;270;288;310
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;vrouw;9;7;11;12;15
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34389;B Industrieel Product Ontwerpen;voltijd onderwijs;man;197;224;223;231;210
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34389;B Industrieel Product Ontwerpen;voltijd onderwijs;vrouw;107;108;105;112;102
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;deeltijd onderwijs;man;91;83;84;100;100
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;deeltijd onderwijs;vrouw;2;2;2;2;3
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;voltijd onderwijs;man;150;149;164;163;175
Gelderland;0202;Arnhem;reguliere inst.;bachelor;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);34421;B Technische Bedrijfskunde;voltijd onderwijs;vrouw;9;11;12;12;16
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;man;20;23;18;17;19
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;34745;B Docent Theater;voltijd onderwijs;vrouw;71;63;63;59;63
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;34940;B Docent Dans;voltijd onderwijs;man;2;4;2;4;5
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;34940;B Docent Dans;voltijd onderwijs;vrouw;77;76;75;74;77
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;deeltijd onderwijs;man;10;13;14;14;18
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;deeltijd onderwijs;vrouw;55;49;59;63;71
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;voltijd onderwijs;man;22;19;19;24;20
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;onderwijs;lerarenopleidingen op het gebied van de kunst;39100;B Docent Beeldende Kunst en Vormgeving;voltijd onderwijs;vrouw;122;120;120;118;114
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34739;B Muziek;voltijd onderwijs;man;116;112;98;91;94
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34739;B Muziek;voltijd onderwijs;vrouw;58;63;61;65;61
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34798;B Dans;voltijd onderwijs;man;28;32;27;28;25
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34798;B Dans;voltijd onderwijs;vrouw;49;46;58;61;57
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34860;B Theater;voltijd onderwijs;man;20;27;23;17;19
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;34860;B Theater;voltijd onderwijs;vrouw;17;12;15;16;13
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39110;B Autonome Beeldende Kunst;voltijd onderwijs;man;43;33;40;32;39
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39110;B Autonome Beeldende Kunst;voltijd onderwijs;vrouw;91;90;90;91;84
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39111;B Vormgeving;deeltijd onderwijs;man;4;0;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39111;B Vormgeving;deeltijd onderwijs;vrouw;4;0;0;0;0
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39111;B Vormgeving;voltijd onderwijs;man;113;115;129;133;140
Gelderland;0202;Arnhem;reguliere inst.;bachelor;27NF;ArtEZ;taal en cultuur;opleidingen op het gebied van de kunst;39111;B Vormgeving;voltijd onderwijs;vrouw;294;283;287;305;306
Gelderland;0202;Arnhem;reguliere inst.;master;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);49136;M Engineering Systems;deeltijd onderwijs;man;0;0;49;59;61
Gelderland;0202;Arnhem;reguliere inst.;master;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);49136;M Engineering Systems;deeltijd onderwijs;vrouw;0;0;2;1;2
Gelderland;0202;Arnhem;reguliere inst.;master;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);49136;M Engineering Systems;voltijd onderwijs;man;0;0;111;138;186
Gelderland;0202;Arnhem;reguliere inst.;master;25KB;Hogeschool van Arnhem en Nijmegen;techniek;n.v.t. (techniek);49136;M Engineering Systems;voltijd onderwijs;vrouw;0;0;1;7;15
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;opleidingen voortgezette bouwkunst;44336;M Architectuur;deeltijd onderwijs;man;49;47;49;52;58
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;opleidingen voortgezette bouwkunst;44336;M Architectuur;deeltijd onderwijs;vrouw;6;11;18;19;20
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;44739;M Muziek;voltijd onderwijs;man;13;11;8;10;10
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;44739;M Muziek;voltijd onderwijs;vrouw;5;7;8;3;1
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49114;M Master of Arts in Fine Art and Design;voltijd onderwijs;man;23;29;26;38;44
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49114;M Master of Arts in Fine Art and Design;voltijd onderwijs;vrouw;62;74;72;86;93
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49125;M Theatre Practices;voltijd onderwijs;man;0;2;5;6;2
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49125;M Theatre Practices;voltijd onderwijs;vrouw;4;6;9;12;18
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49238;M Interieurarchitectuur;voltijd onderwijs;man;2;1;2;1;2
Gelderland;0202;Arnhem;reguliere inst.;master;27NF;ArtEZ;taal en cultuur;voortgezette kunstopleidingen;49238;M Interieurarchitectuur;voltijd onderwijs;vrouw;10;8;11;19;16
Gelderland;0222;Doetinchem;reguliere inst.;associate degree;09OT;Iselinge Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;man;0;0;0;0;2
Gelderland;0222;Doetinchem;reguliere inst.;associate degree;09OT;Iselinge Hogeschool;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;0;0;39
Gelderland;0222;Doetinchem;reguliere inst.;bachelor;09OT;Iselinge Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;man;13;22;21;26;25
Gelderland;0222;Doetinchem;reguliere inst.;bachelor;09OT;Iselinge Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;vrouw;22;26;37;42;46
Gelderland;0222;Doetinchem;reguliere inst.;bachelor;09OT;Iselinge Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;79;91;102;97;106
Gelderland;0222;Doetinchem;reguliere inst.;bachelor;09OT;Iselinge Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;275;241;243;232;216
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);80080;Ad Ondernemen;deeltijd onderwijs;man;0;0;0;6;20
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);80080;Ad Ondernemen;deeltijd onderwijs;vrouw;0;0;0;2;4
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;duaal onderwijs;man;0;5;12;24;33
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;duaal onderwijs;vrouw;0;15;21;50;73
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80146;Ad Pastoraal Werk;deeltijd onderwijs;man;0;0;0;4;21
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80146;Ad Pastoraal Werk;deeltijd onderwijs;vrouw;0;0;0;5;20
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;0;9;27
Gelderland;0228;Ede;reguliere inst.;associate degree;25BA;Christelijke Hogeschool Ede;techniek;n.v.t. (techniek);80083;Ad ICT Service Management;deeltijd onderwijs;man;0;0;0;11;14
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;man;0;0;0;7;24
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34035;B Bedrijfskunde;deeltijd onderwijs;vrouw;0;0;0;3;7
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;man;245;234;235;246;251
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;vrouw;75;84;93;97;94
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;man;0;0;0;1;2
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34405;B Communicatie;deeltijd onderwijs;vrouw;0;0;0;2;11
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;man;106;101;94;90;83
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;vrouw;169;180;175;180;195
Gelderland;0228;Ede;reguliere inst.;bachelor;25BA;Christelijke Hogeschool Ede;economie;n.v.t. (economie);34609;B Human Resource Management;deeltijd onderwijs;man;0;0;0;2;5
