PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;vrouw;1;1;1;0;0
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;man;114;101;97;78;67
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;vrouw;26;31;31;24;20
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;45;50;56;63;79
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;146;140;142;144;159
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;duaal onderwijs;man;2;0;0;0;10
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;man;95;97;81;87;89
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34280;B Werktuigbouwkunde;voltijd onderwijs;vrouw;1;1;2;3;7
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;man;33;32;35;31;24
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;vrouw;9;17;18;14;13
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;man;21;14;23;23;28
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;vrouw;23;23;25;27;34
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;man;30;43;46;51;42
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;vrouw;2;1;2;3;1
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;man;247;273;269;297;266
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;vrouw;20;25;26;24;22
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;47;42;41;35;25
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;183;169;132;114;96
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;man;0;12;23;49;53
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;vrouw;0;59;175;244;337
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;man;3;9;18;23;23
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;vrouw;17;51;94;113;116
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;man;19;51;71;73;78
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;vrouw;8;26;39;53;55
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;man;0;0;12;56;93
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;vrouw;0;0;3;15;32
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;man;0;0;0;19;50
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;vrouw;0;0;0;9;25
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;man;0;0;0;4;7
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;vrouw;0;0;0;10;35
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;man;0;0;0;1;2
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;0;20;50
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;man;0;16;39;50;48
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;vrouw;0;2;4;4;10
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;man;0;0;76;109;117
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;vrouw;0;0;6;9;18
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;man;2;2;2;0;5
Flevoland;0034;Almere;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;vrouw;1;1;1;2;3
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;man;76;84;113;129;146
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34035;B Bedrijfskunde;voltijd onderwijs;vrouw;50;61;84;83;99
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;man;129;151;169;217;245
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;vrouw;47;49;56;58;72
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;man;26;37;37;41;50
